,adjClose,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
478,99.83,-0.39,-0.0033787,-0.33787,115.04,2021-03-02,116.54,"March 02, 21",114.97,115.43,4732418,4732418,115.52
479,101.52,1.78,0.0155,1.55,116.98,2021-03-03,117.24,"March 03, 21",114.7,115.2,7744898,7744898,116.31
480,99.65,-1.8,-0.0154,-1.54,114.83,2021-03-04,117.8,"March 04, 21",113.54,116.63,8439651,8439651,115.39
481,101.91,2.1,0.0182,1.82,117.43,2021-03-05,118.31,"March 05, 21",114.96,115.33,7268968,7268968,116.9
482,103.55,1.74,0.0148,1.48,119.32,2021-03-08,121.27,"March 08, 21",117.48,117.58,7572203,7572203,119.36
483,103.03,-1.17,-0.0097589,-0.97589,118.72,2021-03-09,120.87,"March 09, 21",118.7,119.89,5867014,5867014,119.43
484,106.09,2.7,0.0226,2.26,122.25,2021-03-10,122.6,"March 10, 21",119.13,119.55,7581199,7581199,121.33
485,105.48,-0.91,-0.007431,-0.7431,121.55,2021-03-11,122.98,"March 11, 21",121.2,122.46,5383657,5383657,121.91
486,105.87,0.4,0.0032895,0.32895,122.0,2021-03-12,122.07,"March 12, 21",121.04,121.6,4194565,4194565,121.7
487,106.68,0.78,0.0063856,0.63856,122.93,2021-03-15,123.09,"March 15, 21",121.93,122.15,3577948,3577948,122.65
488,106.4,-0.04,-0.0003261579,-0.03261579,122.6,2021-03-16,122.87,"March 16, 21",121.74,122.64,4867247,4867247,122.4
489,107.05,0.55,0.0044785,0.44785,123.36,2021-03-17,123.8,"March 17, 21",121.88,122.81,4488804,4488804,123.01
490,107.91,1.07,0.0086801,0.86801,124.34,2021-03-18,125.24,"March 18, 21",122.17,123.27,6104142,6104142,123.92
491,106.94,-1.07,-0.0086082,-0.86082,123.23,2021-03-19,124.7,"March 19, 21",122.88,124.3,10297870,10297870,123.6
492,108.31,1.96,0.016,1.6,124.81,2021-03-22,124.97,"March 22, 21",122.27,122.85,4356485,4356485,124.02
493,108.24,0.02,0.0001603849,0.01603849,124.72,2021-03-23,125.77,"March 23, 21",124.09,124.7,4556794,4556794,124.86
494,108.37,-0.31,-0.0024762,-0.24762,124.88,2021-03-24,126.3,"March 24, 21",124.83,125.19,4189230,4189230,125.33
495,110.4,2.62,0.021,2.1,127.22,2021-03-25,127.38,"March 25, 21",124.06,124.6,5809484,5809484,126.22
496,113.15,2.95,0.0231,2.31,130.38,2021-03-26,130.48,"March 26, 21",127.27,127.43,5823710,5823710,129.38
497,112.72,-0.11,-0.0008461538,-0.08461538,129.89,2021-03-29,131.04,"March 29, 21",129.55,130.0,4835344,4835344,130.16
498,111.77,-1.09,-0.0083917,-0.83917,128.8,2021-03-30,130.28,"March 30, 21",128.13,129.89,5010758,5010758,129.07
499,110.56,-1.22,-0.0094853,-0.94853,127.4,2021-03-31,128.79,"March 31, 21",126.87,128.62,5172575,5172575,127.69
500,110.54,-0.51,-0.0039881,-0.39881,127.37,2021-04-01,128.04,"April 01, 21",126.45,127.88,4261404,4261404,127.29
501,112.78,2.19,0.0171,1.71,129.95,2021-04-05,130.68,"April 05, 21",127.53,127.76,5722980,5722980,129.39
502,111.36,-1.3,-0.01,-1.0,128.32,2021-04-06,129.67,"April 06, 21",128.19,129.62,3787566,3787566,128.73
503,111.95,1.05,0.0082063,0.82063,129.0,2021-04-07,129.01,"April 07, 21",127.9,127.95,3112896,3112896,128.63
504,112.1,0.53,0.0041197,0.41197,129.18,2021-04-08,129.67,"April 08, 21",128.26,128.65,4275211,4275211,129.03
505,112.61,0.82,0.0063595,0.63595,129.76,2021-04-09,129.77,"April 09, 21",128.79,128.94,3162999,3162999,129.44
506,111.66,-0.41,-0.0031763,-0.31763,128.67,2021-04-12,129.42,"April 12, 21",127.96,129.08,3926684,3926684,128.68
507,108.83,-1.74,-0.0137,-1.37,125.41,2021-04-13,127.74,"April 13, 21",124.65,127.15,8403041,8403041,125.93
508,110.04,1.26,0.01,1.0,126.8,2021-04-14,126.94,"April 14, 21",124.78,125.54,6137928,6137928,126.17
509,110.0,-0.67,-0.0052582,-0.52582,126.75,2021-04-15,127.98,"April 15, 21",126.41,127.42,4062664,4062664,127.05
510,110.83,0.57,0.0044829,0.44829,127.72,2021-04-16,128.2,"April 16, 21",127.1,127.15,5535223,5535223,127.67
511,110.44,-0.45,-0.0035233,-0.35233,127.27,2021-04-19,127.93,"April 19, 21",126.75,127.72,8575736,8575736,127.32
512,114.63,1.04,0.0079365,0.79365,132.08,2021-04-20,133.62,"April 20, 21",130.69,131.04,16192708,16192708,132.13
513,119.1,5.25,0.0398,3.98,137.24,2021-04-21,137.41,"April 21, 21",131.65,131.99,12456814,12456814,135.43
514,117.21,-2.31,-0.0168,-1.68,135.07,2021-04-22,138.37,"April 22, 21",134.8,137.38,7428064,7428064,136.08
515,118.17,1.07,0.0079201,0.79201,136.17,2021-04-23,137.29,"April 23, 21",134.75,135.1,4765576,4765576,136.07
516,117.46,-0.82,-0.0060223,-0.60223,135.34,2021-04-26,137.31,"April 26, 21",135.26,136.16,4927497,4927497,135.97
517,117.82,0.3,0.0022147,0.22147,135.76,2021-04-27,136.29,"April 27, 21",134.56,135.46,4062664,4062664,135.54
518,118.64,0.08,0.0005855229,0.05855229,136.71,2021-04-28,137.09,"April 28, 21",135.85,136.63,3941433,3941433,136.55
519,119.67,0.11,0.0007983163,0.07983163,137.9,2021-04-29,142.2,"April 29, 21",136.69,137.79,4554179,4554179,138.93
520,117.71,-1.74,-0.0127,-1.27,135.64,2021-04-30,137.5,"April 30, 21",134.37,137.38,9280321,9280321,135.84
521,120.09,0.89,0.0064732,0.64732,138.38,2021-05-03,139.34,"May 03, 21",137.24,137.49,5997241,5997241,138.32
522,120.92,1.28,0.0092713,0.92713,139.34,2021-05-04,140.14,"May 04, 21",137.98,138.06,6642623,6642623,139.16
523,120.48,-0.69,-0.0049455,-0.49455,138.83,2021-05-05,139.52,"May 05, 21",138.59,139.52,5229895,5229895,138.98
524,123.14,3.02,0.0217,2.17,141.89,2021-05-06,141.98,"May 06, 21",138.8,138.87,7848661,7848661,140.89
